"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name"
"1","ENSG00000002330",0.385161052001684,3.55729856767035,3.19270442692773,0.00178172180563723,0.0399403520969252,-1.42067422739085,"chr11",64269830,64284704,0.539226890756302,0.646998985462134,"0.5246958675116579",14875,1703,"8","protein_coding",53.92,"BAD"
"2","ENSG00000004059",0.223304713600802,6.06711934637686,3.32063138229476,0.00117636416822096,0.0322772163495467,-1.19441068566337,"chr7",127588345,127591705,0.565010413567391,0.597024136271617,"0.5440318556074455",3361,1937,"8","protein_coding",56.5,"ARF5"
"3","ENSG00000004866",-0.356965779675033,1.90866553613516,-3.07665052203415,0.00257047007590531,0.0477111512915736,-1.64335358886595,"chr7",116953238,117230103,0.39148179985986,0.451044426491018,"0.3888345427068214",276866,6745,"4","protein_coding",39.15,"ST7"
"4","ENSG00000005206",0.368795803184436,4.96589385516773,3.36906679727274,0.001002233840581,0.029360698645993,-0.994804707731376,"chr19",2328615,2354806,0.610606291997557,0.640823649413021,"0.6040288550066538",26192,7111,"8","protein_coding",61.06,"SPPL2B"
"5","ENSG00000005249",-0.619620608621895,3.64415401842854,-3.73846832914737,0.000280087344566886,0.0159303981299427,0.2185750342303,"chr7",107044649,107161811,0.386325034353849,0.400340652014641,"0.3866519672945847",117163,4305,"2","protein_coding",38.63,"PRKAR2B"
"6","ENSG00000005810",-0.292758052726048,5.8070435501154,-3.87852835684615,0.000168651098851544,0.0121949319255987,0.586443866385876,"chr13",77044655,77327050,0.357218232552869,0.439733117488068,"0.3520033320239872",282396,15858,"3","protein_coding",35.72,"MYCBP2"
"7","ENSG00000006015",0.587989669579332,4.73556606622045,4.36061522397603,2.67522026328703e-05,0.00510181461736475,2.32554631474561,"chr19",18588685,18592336,0.602409638554217,0.596380831556675,"0.5940195316619243",3652,3367,"8","protein_coding",60.24,"C19orf60"
"8","ENSG00000006125",-0.254130168018921,6.6904119832373,-4.50130559409521,1.52214563080941e-05,0.00367535119091355,2.79466614781199,"chr17",35578046,35726409,0.399301717397751,0.464864807763229,"0.39754592824425133",148364,7833,"4","protein_coding",39.93,"AP2B1"
"9","ENSG00000006282",0.432576903536836,3.99077121439682,3.30406962164848,0.00124212989750789,0.0332732253134636,-1.12675933786781,"chr17",50543058,50555852,0.5705353653771,0.616252164148196,"0.5631437710210127",12795,6829,"8","protein_coding",57.05,"SPATA20"
"10","ENSG00000008869",-0.277062005158006,4.57834973467472,-3.16265800137718,0.00196088995830763,0.0413392430830345,-1.57864472468396,"chr2",36968383,37084342,0.385934805105209,0.412999935573334,"0.376062838000378",115960,8169,"2","protein_coding",38.59,"HEATR5B"
"11","ENSG00000009954",-0.260244681417851,5.88851744043463,-3.04679967962293,0.00282014300305435,0.0499768119653434,-1.97661693902115,"chr7",73440398,73522278,0.431907280077185,0.479520786890889,"0.4264854184833743",81881,7406,"5","protein_coding",43.19,"BAZ1B"
"12","ENSG00000010295",0.302555470159418,5.72262190444966,3.89619885636963,0.000158052161473011,0.0119704074536305,0.651708946323576,"chr12",6538375,6556083,0.543170139477102,0.587185001905972,"0.5322313959861177",17709,5311,"8","protein_coding",54.32,"IFFO1"
"13","ENSG00000011198",-0.400906931383574,5.78132567165637,-3.40798357551361,0.00088014259059697,0.02774565319703,-0.924156464315891,"chr3",43690113,43734371,0.402562190740866,0.468977199710273,"0.4018098566998556",44259,3191,"4","protein_coding",40.26,"ABHD5"
"14","ENSG00000012048",-0.397886074148324,2.48906547920294,-3.61868619332108,0.00042779269778308,0.0196259673439857,-0.113525723398246,"chr17",43044295,43170245,0.440925439258124,0.433944711113281,"0.42858359370805155",125951,8894,"3","protein_coding",44.09,"BRCA1"
"15","ENSG00000013374",-0.250659685389211,6.34693361397862,-3.20086788649493,0.00173574257704116,0.0394550230545798,-1.55814117503323,"chr7",151341699,151378449,0.449620418492014,0.482228583687002,"0.44965338451980763",36751,5393,"5","protein_coding",44.96,"NUB1"
"16","ENSG00000014257",-0.444779755824146,3.29469423883723,-3.23798241936331,0.00154028964428157,0.0372275506735508,-1.27985325922755,"chr3",132317367,132368298,0.403950365192806,0.435017249835864,"0.3945610969998697",50932,4505,"3","protein_coding",40.4,"ACPP"
"17","ENSG00000014919",-0.228292037256812,3.93832786226507,-3.11073032491423,0.00231050945430938,0.0449092495814936,-1.68092703270005,"chr10",99711844,99732100,0.424248407957743,0.447569731194108,"0.41931286569828463",20257,4167,"4","protein_coding",42.42,"COX15"
"18","ENSG00000021776",-0.281439481723257,4.57632328148841,-3.51105111756449,0.000620781437033089,0.0239788796519353,-0.545456499095553,"chr15",34851782,34969839,0.375357874942825,0.38915052553717,"0.3701190790816791",118058,13681,"2","protein_coding",37.54,"AQR"
"19","ENSG00000022267",-0.473462335197831,2.64837187864085,-3.46549571403691,0.000725009994777561,0.0256837714077349,-0.585147611832487,"chrX",136146702,136211359,0.420705867796715,0.501007972096333,"0.41144407019204615",64658,6084,"6","protein_coding",42.07,"FHL1"
